RND,SEA,Date,HT,Home_State,AT,Away_State,FTHG,FTAG,GD,FTR
Round 20,2018,18/7/2018,Negeri Sembilan FC,Negeri Sembilan,Selangor FC,Selangor,3,1,2,H
Round 20,2018,18/7/2018,Melaka United FC,Melaka,Sri Pahang FC,Pahang,2,2,0,D
Round 20,2018,18/7/2018,Kuala Lumpur City FC,Kuala Lumpur,Perak FC,Perak,1,5,-4,A
Round 20,2018,20/7/2018,JDT,Johor,Kelantan FC,Kelantan,4,0,4,H
Round 21,2018,21/7/2018,Sri Pahang FC,Pahang,PKNS FC,Selangor,1,0,1,H
Round 21,2018,21/7/2018,Melaka United FC,Melaka,Selangor FC,Selangor,3,2,1,H
Round 21,2018,22/7/2018,Perak FC,Perak,Kedah Darul Aman FC,Kedah,0,0,0,D
Round 21,2018,22/7/2018,Kuala Lumpur City FC,Kuala Lumpur,Negeri Sembilan FC,Negeri Sembilan,2,1,1,H
Round 21,2018,23/7/2018,PKNP FC,Perak,JDT,Johor,1,2,-1,A
Round 21,2018,23/7/2018,Terengganu FC,Terengganu,Kelantan FC,Kelantan,2,0,2,H
Round 22,2018,28/7/2018,Negeri Sembilan FC,Negeri Sembilan,Melaka United FC,Melaka,1,3,-2,A
Round 22,2018,28/7/2018,JDT,Johor,Kuala Lumpur City FC,Kuala Lumpur,2,0,2,H
Round 22,2018,28/7/2018,PKNS FC,Selangor,Perak FC,Perak,4,1,3,H
Round 22,2018,29/7/2018,Kedah Darul Aman FC,Kedah,PKNP FC,Perak,1,3,-2,A
Round 22,2018,29/7/2018,Selangor FC,Selangor,Terengganu FC,Terengganu,2,0,2,H
Round 22,2018,29/7/2018,Kelantan FC,Kelantan,Sri Pahang FC,Pahang,2,1,1,H
Round 1,2019,1/2/2019,Kuala Lumpur City FC,Kuala Lumpur,Sri Pahang FC,Pahang,1,3,-2,A
Round 1,2019,1/2/2019,Terengganu FC,Terengganu,PKNS FC,Selangor,1,1,0,D
Round 1,2019,2/2/2019,JDT,Johor,Perak FC,Perak,1,0,1,H
Round 1,2019,2/2/2019,Melaka United FC,Melaka,Petaling Jaya City FC,Selangor,2,1,1,H
Round 1,2019,2/2/2019,PKNP FC,Perak,Kedah Darul Aman FC,Kedah,0,2,-2,A
Round 1,2019,3/2/2019,Selangor FC,Selangor,Felda United FC,Pahang,1,1,0,D
Round 2,2019,8/2/2019,JDT,Johor,Kuala Lumpur City FC,Kuala Lumpur,4,1,3,H
Round 2,2019,8/2/2019,Perak FC,Perak,Kedah Darul Aman FC,Kedah,1,1,0,D
Round 2,2019,9/2/2019,Sri Pahang FC,Pahang,Terengganu FC,Terengganu,3,0,3,H
Round 2,2019,9/2/2019,Petaling Jaya City FC,Selangor,Selangor FC,Selangor,1,1,0,D
Round 2,2019,9/2/2019,PKNS FC,Selangor,Melaka United FC,Melaka,0,1,-1,A
Round 2,2019,10/2/2019,Felda United FC,Pahang,PKNP FC,Perak,1,1,0,D
Round 3,2019,15/2/2019,Terengganu FC,Terengganu,JDT,Johor,2,2,0,D
Round 3,2019,16/2/2019,Kedah Darul Aman FC,Kedah,Felda United FC,Pahang,4,0,4,H
Round 3,2019,16/2/2019,Melaka United FC,Melaka,Sri Pahang FC,Pahang,1,1,0,D
